regionCd,regionNm,YEARMONTH,volume
31000,울산,200606,3248
31000,울산,200607,2630
31000,울산,200608,1907
31000,울산,200609,2392
31000,울산,200610,2902
31000,울산,200611,3540
31000,울산,200612,3303
31000,울산,200701,2522
31000,울산,200702,1653
31000,울산,200703,1717
31000,울산,200704,1580
31000,울산,200705,1543
31000,울산,200706,1446
31000,울산,200707,2199
31000,울산,200708,2535
31000,울산,200709,1470
31000,울산,200710,3340
31000,울산,200711,2943
31000,울산,200712,3036
31000,울산,200801,4085
31000,울산,200802,3089
31000,울산,200803,3151
31000,울산,200804,3066
31000,울산,200805,2559
31000,울산,200806,2764
31000,울산,200807,2711
31000,울산,200808,1943
31000,울산,200809,1335
31000,울산,200810,1396
31000,울산,200811,981
31000,울산,200812,1394
31000,울산,200901,1254
31000,울산,200902,1306
31000,울산,200903,1592
31000,울산,200904,1808
31000,울산,200905,2130
31000,울산,200906,1949
31000,울산,200907,1750
31000,울산,200908,1602
31000,울산,200909,1961
31000,울산,200910,1827
31000,울산,200911,1794
31000,울산,200912,1853
31000,울산,201001,1520
31000,울산,201002,1539
31000,울산,201003,3556
31000,울산,201004,2770
31000,울산,201005,2348
31000,울산,201006,2510
31000,울산,201007,2572
31000,울산,201008,2208
31000,울산,201009,1555
31000,울산,201010,1809
31000,울산,201011,2828
31000,울산,201012,3807
31000,울산,201101,2303
31000,울산,201102,2508
31000,울산,201103,3071
31000,울산,201104,2821
31000,울산,201105,3127
31000,울산,201106,2332
31000,울산,201107,2906
31000,울산,201108,2690
31000,울산,201109,2280
31000,울산,201110,2506
31000,울산,201111,3055
31000,울산,201112,3711
31000,울산,201201,1010
31000,울산,201202,2054
31000,울산,201203,2617
31000,울산,201204,2412
31000,울산,201205,2617
31000,울산,201206,2703
31000,울산,201207,1843
31000,울산,201208,3246
31000,울산,201209,1610
31000,울산,201210,1967
31000,울산,201211,2117
31000,울산,201212,2859
31000,울산,201301,841
31000,울산,201302,1282
31000,울산,201303,1928
31000,울산,201304,2389
31000,울산,201305,7398
31000,울산,201306,4241
31000,울산,201307,2479
31000,울산,201308,3151
31000,울산,201309,1783
